citizen_id,age,gender,county,subcounty,ward,occupation,education_level,language_preference,feedback_text,feedback_category,sentiment_score,response_status,service_satisfaction_score,,submission_date
C0001,51,Male,Kisumu,Seme,East Seme,Business,PhD,Swahili,Tax rates for small businesses are too high.,Business,2,Pending,1,,12/16/2023
C0002,59,Female,Nairobi,Langata,Mugumu-ini,Student,Master's,English,Need support for startups.,Business,3,Pending,3,,6/20/2024
C0003,35,Female,Nairobi,Langata,Mugumu-ini,Student,Bachelor's,English,More benefits for the elderly needed.,Pension,3,Unresolved,3,,1/31/2024
C0004,40,Female,Kiambu,Ruiru,Gitothua,Teacher,Bachelor's,Swahili,Roads are in poor condition.,Infrastructure,2,Unresolved,3,,10/18/2023
C0005,57,Female,Mombasa,Kisauni,Bamburi,Business,Master's,English,Need support for startups.,Business,2,Pending,3,,2/4/2024
C0006,53,Female,Nairobi,Langata,Mugumu-ini,Engineer,PhD,English,Licensing process is too slow.,Business,3,Unresolved,1,,8/21/2024
C0007,57,Male,Nairobi,Westlands,Parklands,Retired,PhD,Swahili,Schools lack sufficient teachers.,Education,1,Pending,1,,9/20/2023
C0008,67,Male,Mombasa,Changamwe,Kipevu,Engineer,High School,Swahili,Public transport is unreliable.,Transport,1,Pending,3,,3/8/2024
C0009,62,Male,Mombasa,Changamwe,Port Reitz,Doctor,Diploma,English,Healthcare facilities are understaffed.,Healthcare,3,Resolved,3,,4/21/2024
C0010,33,Female,Mombasa,Changamwe,Chaani,Student,Primary,English,Tax rates for small businesses are too high.,Business,2,Pending,1,,6/15/2024
C0011,50,Male,Nairobi,Westlands,Kangemi,Engineer,High School,Swahili,Healthcare facilities are understaffed.,Healthcare,1,Resolved,1,,12/8/2023
C0012,67,Male,Kisumu,Kisumu Central,Migosi,Retired,Master's,Swahili,Need more buses in my area.,Transport,1,Pending,1,,5/3/2024
C0013,20,Male,Nairobi,Westlands,Parklands,Engineer,Bachelor's,English,Water supply is inconsistent.,Infrastructure,3,Resolved,1,,8/28/2024
C0014,58,Female,Mombasa,Kisauni,Bamburi,Student,Diploma,Swahili,Public facilities need maintenance.,Infrastructure,1,Pending,3,,4/11/2024
C0015,32,Female,Kiambu,Limuru,Bibirioni,Business,Bachelor's,Swahili,Schools lack sufficient teachers.,Education,2,Resolved,3,,5/8/2024
C0016,47,Male,Kisumu,Kisumu Central,Railways,Student,Master's,Swahili,Medication is unavailable in hospitals.,Healthcare,1,Pending,1,,12/12/2023
C0017,37,Male,Mombasa,Kisauni,Bamburi,Student,Primary,English,Public transport is unreliable.,Transport,1,Resolved,2,,5/21/2024
C0018,35,Male,Mombasa,Changamwe,Port Reitz,Nurse,Diploma,English,Pension payments are delayed.,Pension,2,Pending,2,,11/29/2023
C0019,60,Male,Kisumu,Nyando,Kobura,Doctor,Bachelor's,Swahili,Tax rates for small businesses are too high.,Business,3,Unresolved,1,,9/20/2023
C0020,49,Male,Kisumu,Seme,North Seme,Teacher,Bachelor's,English,More benefits for the elderly needed.,Pension,2,Pending,1,,11/18/2023
C0021,33,Male,Nairobi,Langata,Karen,Business,Primary,English,More benefits for the elderly needed.,Pension,1,Unresolved,2,,12/13/2023
C0022,25,Male,Kisumu,Kisumu Central,Railways,Teacher,PhD,English,More benefits for the elderly needed.,Pension,2,Pending,2,,7/6/2024
C0023,52,Male,Nairobi,Westlands,Parklands,Student,High School,Swahili,Water supply is inconsistent.,Infrastructure,1,Unresolved,1,,8/5/2024
C0024,31,Female,Nairobi,Kasarani,Kasarani,Nurse,High School,Swahili,The curriculum is outdated.,Education,2,Unresolved,3,,1/16/2024
C0025,56,Female,Nairobi,Kasarani,Roysambu,Engineer,PhD,Swahili,Medication is unavailable in hospitals.,Healthcare,2,Resolved,1,,8/24/2024
C0026,79,Female,Nairobi,Langata,Karen,Doctor,Diploma,English,Licensing process is too slow.,Business,3,Unresolved,2,,3/3/2024
C0027,38,Female,Nairobi,Westlands,Kitisuru,Teacher,Bachelor's,English,Public transport is unreliable.,Transport,2,Resolved,1,,8/12/2024
C0028,40,Male,Nairobi,Kasarani,Kasarani,Business,Master's,Swahili,Need support for startups.,Business,1,Unresolved,1,,1/21/2024
C0029,68,Female,Kiambu,Thika,Kamenu,Nurse,PhD,Swahili,Need more buses in my area.,Transport,1,Pending,1,,2/7/2024
C0030,65,Female,Kisumu,Seme,Central Seme,Teacher,Primary,English,Licensing process is too slow.,Business,1,Pending,3,,2/25/2024
C0031,68,Female,Kiambu,Ruiru,Mugutha,Doctor,Master's,English,Licensing process is too slow.,Business,1,Pending,3,,7/12/2024
C0032,67,Female,Mombasa,Kisauni,Mjambere,Engineer,Diploma,Swahili,Fares are too high.,Transport,2,Pending,2,,3/30/2024
C0033,40,Female,Mombasa,Kisauni,Bamburi,Teacher,PhD,English,Pension payments are delayed.,Pension,1,Resolved,2,,7/1/2024
C0034,33,Male,Kisumu,Seme,North Seme,Engineer,High School,Swahili,Water supply is inconsistent.,Infrastructure,2,Unresolved,3,,5/19/2024
C0035,80,Female,Kisumu,Kisumu Central,Railways,Engineer,Primary,Swahili,Healthcare facilities are understaffed.,Healthcare,3,Pending,3,,8/3/2024
C0036,38,Female,Kisumu,Seme,Central Seme,Teacher,Bachelor's,Swahili,Need more buses in my area.,Transport,2,Pending,3,,2/25/2024
C0037,46,Male,Kiambu,Limuru,Limuru Central,Teacher,Diploma,English,Public transport is unreliable.,Transport,1,Unresolved,3,,6/16/2024
C0038,45,Male,Kisumu,Kisumu Central,Railways,Engineer,PhD,English,Tax rates for small businesses are too high.,Business,3,Resolved,1,,7/14/2024
C0039,30,Female,Kiambu,Thika,Kiganjo,Nurse,Diploma,Swahili,Water supply is inconsistent.,Infrastructure,1,Unresolved,1,,3/17/2024
C0040,65,Male,Kisumu,Nyando,Ahero,Business,Primary,Swahili,More resources for education needed.,Education,3,Resolved,1,,10/6/2023
C0041,54,Female,Nairobi,Kasarani,Kasarani,Engineer,PhD,English,Schools lack sufficient teachers.,Education,2,Pending,1,,4/7/2024
C0042,38,Male,Kisumu,Nyando,Onjiko,Business,Bachelor's,English,Schools lack sufficient teachers.,Education,2,Pending,2,,8/30/2024
C0043,19,Male,Mombasa,Changamwe,Kipevu,Teacher,Primary,English,Water supply is inconsistent.,Infrastructure,3,Resolved,3,,7/18/2024
C0044,18,Male,Mombasa,Jomvu,Miritini,Engineer,Diploma,Swahili,Public transport is unreliable.,Transport,1,Pending,2,,7/17/2024
